roc_auc_valid,roc_auc_test,pr_auc_valid,pr_auc_test
0.771978021978022,0.8423617160278747,0.45458924867587575,0.725854154239336
0.8195250181290791,0.9067699049316694,0.4268835408142953,0.7558164197894792
0.8361869147325154,0.8108814307281382,0.606652950942747,0.4453352101164398
0.7842884990253411,0.8131261384335154,0.3251135504579055,0.3311842257280993
0.7606500691562932,0.7156762295081966,0.48939648252481893,0.45897180091924394
0.7692960330199495,0.8465785003639894,0.35939123987919397,0.5073575799266675
0.8196386946386947,0.7469139812889813,0.23481843969021862,0.19165161432437922
0.753305109922757,0.7168764140271493,0.5238249749352147,0.4407132958304053
0.8061811505507956,0.7941380506416927,0.24430308663153602,0.24420132914195963
0.7667003197038532,0.7836166323077521,0.27278335624385475,0.35040428524474565
0.901984126984127,0.8468793899257475,0.7336010076424596,0.5813130918275419
0.7383957599103899,0.8273210290827739,0.3968382871783984,0.40206802028978894
