ROC-AUC FP (random),ROC-AUC FP (scaffold),ROC-AUC FP+Desc (random),ROC-AUC FP+Desc (scaffold)
0.8037405303030303,0.8699232360627176,0.7921105587121212,0.8423617160278747
0.9193634969325154,0.915088383838384,0.9135736196319019,0.9067699049316694
0.882943143812709,0.7981070723493207,0.880964325529543,0.8108814307281382
0.8188932980599648,0.6732695810564664,0.8624063051146384,0.8131261384335154
0.6981120232984358,0.6688737240952676,0.6895885114609224,0.7156762295081966
0.8141100702576113,0.8029756127153604,0.8678944006812859,0.8465785003639894
0.672120014816644,0.5902091995841996,0.6616866279787629,0.7469139812889813
0.7834259441384737,0.6843302224736048,0.8409593823760819,0.7168764140271493
0.8312049062049063,0.7649274069669492,0.9022366522366522,0.7941380506416927
0.7124330755502677,0.7382823135866817,0.7848502875272655,0.7836166323077521
0.8742711451058641,0.8044127812339733,0.9104755570335883,0.8468793899257475
0.7922969887255601,0.7678660203827989,0.7964178678464392,0.8273210290827739
