roc_auc_valid,roc_auc_test,pr_auc_valid,pr_auc_test
0.6910364560209166,0.8037405303030303,0.476487878353311,0.510905878966247
0.7929487179487179,0.9193634969325154,0.6069250764924632,0.7410207796855002
0.865667332889185,0.882943143812709,0.5555304161200727,0.5413794242741108
0.7603156168875529,0.8188932980599648,0.22154389288387275,0.517297679256265
0.6478102189781021,0.6981120232984358,0.29698015233970876,0.3297310411655975
0.7534586000412967,0.8141100702576113,0.40084981875161985,0.4822084887224805
0.7771722325293753,0.672120014816644,0.3535843034970642,0.14989995389800248
0.8109127483027407,0.7834259441384737,0.484972340521181,0.4815976850620475
0.8145051698670606,0.8312049062049063,0.28349795446482123,0.2744753985265972
0.6679924242424242,0.7124330755502677,0.23950180381274078,0.2468146451110127
0.8514503663555154,0.8742711451058641,0.5873190044578965,0.6382283994160806
0.8010548993388307,0.7922969887255601,0.33506457314266236,0.34054884767401344
