roc_auc_valid,roc_auc_test,pr_auc_valid,pr_auc_test
0.7288490947659219,0.7921105587121212,0.4884437360529978,0.5168423612581973
0.820448717948718,0.9135736196319019,0.6122910972243604,0.751032601060547
0.8635354208305575,0.880964325529543,0.5548474039976029,0.5835996654292551
0.8442068588605001,0.8624063051146384,0.3858977003491467,0.434077993447238
0.6743575642435757,0.6895885114609224,0.3533179092668895,0.3841637772682851
0.791606442287838,0.8678944006812859,0.40257023849056645,0.5642516691444478
0.7851731601731601,0.6616866279787629,0.3997397461637194,0.2081574517067952
0.8273195876288659,0.8409593823760819,0.5709613303200424,0.599313231042045
0.8315805022156574,0.9022366522366522,0.3548237919920805,0.2639064998532335
0.7695075757575758,0.7848502875272655,0.30281990219471183,0.2918128791585224
0.923291177356218,0.9104755570335883,0.6743170124124368,0.7483078314466474
0.8157640591337939,0.7964178678464392,0.3371230836854687,0.377652478375097
